2025-11-12T11:59:28.489Z, d48c49fa8cc0, 4.02v - 80%, 0.8011011
2025-11-12T12:01:19.539Z, d48c49fa8cc0, 4.04v - 82%, 0.8224592
2025-11-12T14:00:00.828Z, d48c49fa8cc0, 4.04v - 82%, 0.8205174
2025-11-13T06:50:05.135Z, d48c49fa8cc0, 4.07v - 85%, 0.8515844
2025-11-13T07:01:14.229Z, d48c49fa8cc0, 4.01v - 79%, 0.7855679
2025-11-13T11:59:01.135Z, d48c49fa8cc0, 4.03v - 81%, 0.8127508
2025-11-13T12:01:19.818Z, d48c49fa8cc0, 4.04v - 82%, 0.8205174
2025-11-13T14:00:12.534Z, d48c49fa8cc0, 4.03v - 81%, 0.806926
2025-11-14T06:49:07.204Z, d48c49fa8cc0, 4.03v - 81%, 0.806926
2025-11-14T07:01:13.002Z, d48c49fa8cc0, 4.01v - 79%, 0.7894509
2025-11-14T11:58:30.264Z, d48c49fa8cc0, 4.03v - 81%, 0.8088677
2025-11-14T12:01:18.570Z, d48c49fa8cc0, 4.01v - 78%, 0.7836261
2025-11-14T14:00:15.779Z, d48c49fa8cc0, 4.02v - 80%, 0.7972176
2025-11-17T06:10:40.964Z, d48c49fa8cc0, 4.02v - 80%, 0.8030429
2025-11-17T07:00:49.364Z, d48c49fa8cc0, 4.02v - 80%, 0.8049842
2025-11-17T11:58:41.425Z, d48c49fa8cc0, 4.02v - 80%, 0.8030429
2025-11-17T12:01:18.725Z, d48c49fa8cc0, 4.00v - 78%, 0.7797425
2025-11-17T14:00:09.397Z, d48c49fa8cc0, 4.02v - 80%, 0.7952757
2025-11-18T06:47:47.924Z, d48c49fa8cc0, 4.01v - 79%, 0.7855679
2025-11-18T07:01:12.850Z, d48c49fa8cc0, 4.02v - 80%, 0.8030429
2025-11-18T11:58:30.268Z, d48c49fa8cc0, 3.99v - 76%, 0.7622678
2025-11-18T12:01:18.828Z, d48c49fa8cc0, 4.01v - 79%, 0.7913928
2025-11-18T14:00:13.057Z, d48c49fa8cc0, 4.01v - 79%, 0.7933345
2025-11-19T06:50:46.337Z, d48c49fa8cc0, 4.02v - 80%, 0.7972176
2025-11-19T07:01:14.436Z, d48c49fa8cc0, 4.00v - 78%, 0.7758595
2025-11-19T11:59:48.401Z, d48c49fa8cc0, 4.03v - 81%, 0.8146926
2025-11-19T12:01:19.524Z, d48c49fa8cc0, 4.01v - 79%, 0.7933345
2025-11-19T14:00:05.332Z, d48c49fa8cc0, 4.02v - 80%, 0.7991593
2025-11-20T06:50:01.453Z, d48c49fa8cc0, 4.01v - 79%, 0.7894509
2025-11-20T07:01:14.096Z, d48c49fa8cc0, 4.02v - 80%, 0.8030429
2025-11-20T11:58:35.812Z, d48c49fa8cc0, 4.01v - 79%, 0.7913928
2025-11-20T12:01:19.439Z, d48c49fa8cc0, 4.03v - 81%, 0.8108095
2025-11-20T14:00:15.106Z, d48c49fa8cc0, 4.02v - 80%, 0.8030429
2025-11-21T06:50:11.618Z, d48c49fa8cc0, 4.01v - 79%, 0.7875092
2025-11-21T07:01:14.658Z, d48c49fa8cc0, 4.00v - 78%, 0.7758595
2025-11-21T12:00:22.764Z, d48c49fa8cc0, 4.00v - 78%, 0.7758595
2025-11-21T14:00:07.391Z, d48c49fa8cc0, 4.02v - 80%, 0.7952757
2025-11-24T06:14:43.972Z, d48c49fa8cc0, 4.03v - 81%, 0.8146926
2025-11-24T07:00:58.382Z, d48c49fa8cc0, 4.02v - 80%, 0.8011011
2025-11-24T11:58:53.334Z, d48c49fa8cc0, 4.02v - 80%, 0.7991593
2025-11-24T12:01:18.900Z, d48c49fa8cc0, 3.99v - 77%, 0.7719762
2025-11-24T14:00:06.224Z, d48c49fa8cc0, 4.00v - 78%, 0.7816844
2025-11-25T06:50:23.853Z, d48c49fa8cc0, 4.01v - 79%, 0.7933345
2025-11-25T07:01:15.127Z, d48c49fa8cc0, 4.00v - 78%, 0.7816844
2025-11-25T11:58:39.165Z, d48c49fa8cc0, 4.00v - 77%, 0.7739177
